좋은 친구부터,도서관에서 미스터리 소설을 빌려서 읽고 있었는데 메모가 한 장 끼어 있더라구요,,
,> 궁금해서 메모를 펼쳐봤더니 이 소설의 범인 이름이 적혀 있는 게 아니겠어요?,,
,> > 왠지 억울해서 제 이름을 적은 메모를 새로 끼워놓았답니다,,
,> > 도저히 믿기지가 않아서 마지막까지 읽어봤는데 진짜로 그 사람이 범인이지 뭐예요 기운이 쭉 빠지더라구요,,
,> 마침 읽고 있던 부분이 범인이 책에 메모를 끼워두는 장면이어서 깜짝 놀랐답니다! 근데 그 메모는 평범한 쇼핑 리스트여서 좀 허탈했어요!,,
,> 두근거리는 심정으로 읽어봤더니 '풍선은 모기의 침에 찔려도 터지지 않는다' 라고 적혀 있는 거예요 그때부터 그게 진짜인지 너무 궁금해서 소설이 머릿속에 하나도 안 들어오더라구요,,
,> 뭔지 궁금해서 읽어봤더니 '펭귄은 동상에 걸리지 않는다' 라고 써 있지 않겠어요? 왠지 똑똑해진 기분이 들어서 님께 바로 알려드렸답니다!,,
,,,
,저는 케이크를 자주 만들어요!,,
,> 밀크티랑 같이 먹으면 정말 맛있거든요! 그런데 먹다 보면 항상 과식해서 움직이기 힘들 때가 많아요 제가 만든 케이크의 유혹에 자꾸 넘어가는 게 요즘의 제 고민이에요!,,
,> 하지만 똑같은 것만 만들었더니 아무래도 질리더라구요 그래서 다음엔 운세 쿠키처럼 케이크 안에 운세 종이를 넣어서 구워볼까 생각 중이에요! xx님! 잘 구워지면 말씀드릴 테니까 꼭 드시러 오세요!,,
,> 그리고 가끔은 xx로 주스도 만든답니다! xx를 맛있게 먹을 수 있는 레시피를 다양하게 연구하고 있어요! 새로운 레시피가 완성되면 시식을 부탁드릴게요!,,
,,,
,"저요, 뜨개질의 달인이 되어보기로 마음먹었어요! 옛날엔 싫어했는데 포기하지 않고 하다 보니까 점점 재밌어지더라고요 아무래도 저는 뭔가를 꾸준히 하는 걸 잘하는 모양이에요!",,
,저 요즘 뜨개질에 푹 빠졌어요! 처음에 좋아하는 인형의 목도리를 떠봤는데 좀 짧았는지 꽉 끼게 완성됐지만요!,,
,"저 말이에요, 뜨개질이 요즘의 취미랍니다! 처음엔 간단한 컵 받침을 만들었어요! 주스 마실 때 정말 좋더라구요! 그래서 계속 떴더니 어느새 컵보다 컵 받침이 더 많아졌지 뭐예요",,
,,,
,저는 평소에 손으로 글씨 쓰는 걸 좋아해요!,,
,> 요즘은 디지털 기기들이 많지만 역시 아날로그는 아날로그만의 멋이 있죠! 즐거운 일정을 수첩에 적기만 해도 너무 신나잖아요~ 나중에 다시 읽어보면 그때의 기억이 되살아나서 옛날 수첩은 전~부 제 보물이랍니다!,,
,> 요즘은 회사원들도 수첩을 안 가지고 다니는 사람이 많다고 하더라고요! 두꺼운 수첩은 무거워서 저도 작은 수첩을 들고다녀요~ 물론 스케줄을 완벽하게 기억하는 게 가장 좋겠지만요!,,
,,,
,저는 문구 용품을 너무 좋아해서 보기만 해도 심장이 뛰곤 해요!,,
,> 실은 만년필 모으는 게 취미라서 잔뜩 가지고 있답니다! 잉크가 끊임없이 흘러나오면서 펜 끝까지 미끄러지는 그 설계가 이유도 없이 좋아요!,,
,"> 문구 용품을 좋아하게 된 계기는 한 자루의 연필이었어요! 연필심의 강도, 글씨를 쓸 때의 사각거리는 느낌 너무 감동적이었거든요!",,
,"> 사실 문구 용품 중에는 엄두가 안 날 정도로 비싼 제품들도 있어요! 그래서 지갑을 지키려면 너무 좋아하지 않는 게 좋아요 저만 해도 예전에 근사한 볼펜을 한 자루에 50,000벨이나 주고 샀는걸요",,
,,,
,"맞다, xx님에게 꼭 하고 싶은 말이 있었는데 뭐였는지 생각이 앗!",,
,> xx님과 제가 시합을 하는 꿈을 꿨는데요 정말 치열했답니다~ 결국엔 제가 져버렸지만 다음엔 꼭 이길 테니까 또 시합하도록 해요! 꿈속에서!,,
,> xx님과 제가 xx를 하는 꿈을 꿨는데요 그게 얼마나 재밌었는지 몰라요~ 마지막에 헤어지기 전에 깼으니까 다음에 이어서 꿈을 꾸게 되면 또 xx를 하도록 해요!,,
,> 역시 기억이 안 나네요 죄송해요! 별것도 아닌 일로 시간을 빼앗고 말았네요,,
,,,
,"저어~ xx님 히트곡을 연달아 터트린 계의 거장이시라면서요? 죄송해요, 음악에 대해 무지해서 알아보지도 못하고 네? 아니라고요? 어머나, 제가 얘기를 잘못 들었나 봐요 죄송해요!",,
